0,1,2,3,4,5,6,7,8,9,10,11
1391c,1234a,1,3,0,3,0,0,1,2,0,0
0367a,0335a,1,0,0,2,0,0,1,4,0,0
1229b,1248a,1,0,0,0,0,0,1,2,0,0
0458a,0389c,0,1,0,0,0,0,2,2,0,0
1362a,1153c,1,0,0,3,1,0,0,1,0,0
1121a,0477a,0,0,0,2,0,1,0,1,0,0
1121a,1463a,0,0,0,3,0,0,1,0,1,0
1386a,1204a,1,1,0,0,0,0,1,3,0,0
1489a,0321b,2,1,0,0,0,0,1,4,0,0
1254c,0539a,1,3,0,3,0,0,0,1,0,0
1254c,0596a,1,1,0,3,0,0,0,2,0,0
1305a,1433c,0,3,0,0,0,0,1,0,0,0
0367a,1521c,2,0,0,2,0,0,1,4,0,0
1517a,0336a,1,1,0,2,0,0,1,1,0,0
1454b,0434b,1,3,0,3,0,0,1,0,0,0
1229b,0429b,0,0,0,0,0,1,1,2,0,0
1454b,1344b,1,3,0,0,0,0,1,2,0,0
1305a,1488c,2,1,0,0,0,0,0,1,0,0
1362a,0552b,1,1,0,0,0,0,0,0,0,0
1489a,1336c,1,0,0,3,0,1,0,0,0,0
0359a,1343b,0,0,0,0,0,1,1,2,0,0
0331b,0301a,2,1,0,0,0,0,1,4,0,0
1302a,0402b,1,3,0,0,0,0,1,2,0,0
1305a,1472c,1,1,0,3,0,0,1,1,0,0
0379b,0414b,2,0,0,0,0,1,1,2,0,0
1454b,1416a,1,0,0,0,0,1,1,4,0,0
0565a,1465b,2,0,0,2,0,1,0,1,0,0
0565a,1453b,1,0,0,0,0,0,0,1,0,0
0565a,1289a,0,0,0,3,0,1,1,2,0,0
0331b,0597c,2,3,0,0,0,0,1,1,0,0
0367a,1551a,2,0,0,0,0,0,3,1,0,0
0564a,0564c,2,0,0,1,1,2,3,1,1,1
1517a,1137b,1,0,0,2,0,1,0,2,0,0
1120a,1441a,1,0,0,2,0,0,2,1,0,0
1489a,1445c,1,0,0,3,0,1,0,0,0,0
1120a,0321c,0,0,0,1,0,0,0,0,0,0
1489a,1440c,1,3,0,2,0,1,0,2,0,0
0565a,1207c,1,0,0,2,0,0,0,1,1,0
0374c,0374a,0,1,1,3,0,1,0,3,0,1
1305a,0562c,2,1,0,3,0,1,0,2,0,0
1446a,1230b,0,0,1,0,0,0,0,1,0,0
1391c,0338b,0,0,0,3,0,1,1,2,0,0
0577a,1386b,1,0,0,0,0,0,0,0,0,0
1120a,1552b,0,0,0,0,0,1,1,1,1,0
1446a,1096a,1,0,0,2,0,1,1,2,0,0
1302a,1458c,1,3,0,0,0,0,0,0,0,0
0379b,1488c,0,1,0,0,0,0,0,2,0,0
1121a,1257b,1,3,0,3,0,0,0,2,0,0
1229b,0552b,1,1,0,0,0,0,0,2,0,0
0432a,0432c,0,1,0,3,0,0,1,2,0,1
1305a,1230c,1,3,0,3,0,0,0,2,0,0
0565a,1448b,1,1,0,0,0,0,0,0,0,0
1446a,0538b,0,0,0,0,0,1,1,1,0,0
0458a,1425c,1,3,0,1,0,1,1,1,0,0
0359a,1227a,1,0,0,3,0,1,0,1,0,0
1129c,1129a,2,1,0,3,0,0,3,1,0,1
1305a,1430a,1,0,0,0,0,1,3,3,0,0
1305a,1119a,0,0,0,0,2,0,0,1,0,0
0359a,1119a,1,0,0,0,2,0,0,1,0,0
1446a,1426c,0,1,0,3,0,1,0,0,0,0
1194b,1194c,0,3,2,0,0,0,0,2,0,1
0569c,0569a,0,0,1,2,0,1,3,0,0,1
1229b,1260c,2,1,0,3,0,0,1,1,0,0
1489a,0584b,1,0,0,2,0,0,1,2,0,0
1391c,1491c,1,0,0,1,0,0,0,1,0,0
0335a,0335b,2,3,0,2,0,0,0,1,0,1
1454b,1486a,1,1,0,3,0,0,1,1,0,0
1454b,1413c,1,3,0,0,0,0,0,2,0,0
1121b,1121c,1,0,0,0,0,0,0,2,0,1
1386a,1167a,1,1,0,0,0,0,0,1,0,0
1305a,1289a,1,0,0,0,0,1,0,3,0,0
0331b,0496d,1,0,0,1,0,0,0,1,1,0
1305a,1352b,1,0,0,3,0,0,2,1,0,0
1362a,0365b,1,0,0,0,2,0,0,2,1,0
1391c,1176b,1,3,0,1,0,0,1,1,0,0
1305a,1335c,1,0,0,3,0,0,2,1,1,0
1489a,0411a,2,0,0,3,0,1,1,4,0,0
0577a,1261b,1,3,0,0,0,0,0,1,0,0
1391c,1382a,0,1,0,0,0,0,0,2,0,0
1254c,1243a,0,1,0,3,0,0,0,2,0,0
1120a,1123b,2,1,0,3,0,0,1,1,0,0
1454b,0570c,1,3,0,2,0,0,1,1,0,0
1517a,0536a,0,0,0,1,0,1,0,2,0,0
1391c,1547a,0,3,0,1,0,1,1,1,0,0
1454b,0461b,0,0,0,3,0,0,1,0,1,0
1386a,1252b,1,1,0,3,0,0,1,2,0,0
0359a,0531a,0,1,0,1,0,0,0,1,0,0
1391c,1551a,2,0,0,0,0,0,2,2,0,0
0538a,0538c,0,1,1,3,0,0,1,3,0,1
1446a,0349b,1,0,0,0,0,0,2,1,0,0
1254c,1135b,2,0,0,0,0,1,0,0,0,0
0359a,1341a,2,1,0,0,0,0,0,0,0,0
0458a,1180b,1,0,0,0,0,0,0,1,1,0
0331b,0451c,2,1,0,1,0,0,0,2,1,0
1302a,1343b,0,0,0,3,0,1,1,4,0,0
0367a,1494b,0,0,0,0,0,1,1,0,0,0
1120a,0557c,1,0,0,3,0,1,0,0,1,0
0458a,1484b,1,0,0,0,0,1,0,2,1,0
1489a,1257a,1,0,0,1,0,1,0,3,0,0
1254c,1495b,0,0,0,2,0,1,0,1,0,0
1446a,1274a,0,0,0,2,0,0,1,1,0,0
1391c,1454a,0,3,0,3,0,0,0,0,0,0
0491b,0491a,0,0,0,1,0,0,1,2,1,1
0379b,1284b,2,0,0,3,2,0,0,2,0,0
1386a,1364b,2,0,0,3,0,0,1,2,0,0
0458a,0411c,0,0,0,3,0,1,1,4,0,0
1517a,1127c,0,3,0,1,0,0,0,0,0,0
1305a,1491c,0,0,0,1,0,0,1,0,0,0
1406b,1406c,0,0,1,3,0,0,1,0,0,1
1446a,1513a,1,1,0,0,0,1,1,1,0,0
1454b,1134c,0,0,0,3,0,0,2,4,0,0
0367a,0379b,1,0,0,0,0,0,0,1,0,0
1517a,1341b,0,3,0,1,0,1,0,0,0,0
0577a,0579a,1,1,0,3,0,0,0,0,0,0
0331b,0379c,1,0,0,2,0,0,0,3,0,0
1305a,1547b,1,1,0,1,0,1,0,2,0,0
0337a,0337b,1,3,0,0,0,0,0,2,1,1
1454b,0366a,0,3,0,0,0,0,1,3,0,0
1120a,0335b,1,3,0,3,0,0,1,1,0,0
1302a,1448c,1,3,0,0,0,0,1,1,0,0
0565a,1234a,1,3,0,0,0,0,1,2,0,0
0359a,1562b,1,1,0,0,2,0,0,0,0,0
0565a,1274a,1,0,0,2,0,0,1,2,0,0
0318c,0318b,2,0,0,3,2,0,0,4,0,1
1386a,1282b,1,1,0,3,0,0,0,1,0,0
1146b,1146c,1,0,0,0,0,1,0,3,0,1
0359a,0565b,0,0,0,0,0,0,1,1,0,0
1517a,0335b,1,3,0,1,0,0,1,1,0,0
1362a,0531c,2,3,0,2,0,0,0,3,0,0
1362a,1328a,0,0,0,1,0,1,0,0,0,0
0359a,0424a,1,1,0,3,0,0,0,1,0,0
1517a,1260b,0,0,0,0,0,1,1,2,0,0
1302a,1497b,0,0,0,3,2,0,1,2,1,0
1517a,0351c,1,1,0,1,0,0,1,0,0,0
0577a,0515a,1,0,0,3,0,0,2,1,1,0
1302a,0374b,1,3,0,0,0,0,0,1,0,0
1409a,1409c,3,2,0,3,0,0,1,2,1,1
1517a,0432a,1,1,0,2,0,0,1,0,0,0
1366a,1366c,3,0,0,0,0,1,0,0,1,1
1305a,1494a,0,1,0,1,0,0,0,1,0,0
1120a,0560a,0,3,0,3,2,0,0,1,0,0
1489a,1484b,0,0,0,3,0,1,1,2,1,0
1305a,1446c,2,0,0,3,0,0,0,3,0,0
1517a,1137a,1,0,0,1,0,1,0,1,0,0
1446a,1352c,1,1,0,3,0,0,0,0,0,0
0359a,1134c,0,0,0,0,0,0,3,2,0,0
1391c,1453b,1,0,0,3,0,0,0,1,0,0
1302a,1268c,0,0,0,0,0,1,0,4,0,0
1391c,1134c,0,0,0,0,0,0,2,3,0,0
0577a,1487a,0,0,0,3,0,1,0,1,0,0
1305a,0365b,1,0,0,3,2,0,0,2,1,0
1386a,0334a,1,1,0,0,0,1,0,3,0,0
1386a,1268a,1,0,0,0,2,0,0,1,0,0
0359a,0316b,0,0,0,3,0,0,2,2,0,0
0496f,0496c,1,0,0,3,0,0,1,1,0,1
1362a,1243a,2,1,0,0,0,0,1,3,0,0
0379b,1498b,1,0,0,1,2,0,0,2,0,0
0379b,0319a,1,3,0,0,0,1,1,1,0,0
1305a,1490b,0,1,0,3,0,1,0,2,0,0
0367a,1366c,2,0,0,0,0,0,1,3,1,0
1492a,1492c,0,0,0,0,0,2,0,2,0,1
1362a,0532c,1,1,0,0,0,1,0,2,0,0
0577a,1364a,0,0,0,2,2,0,0,2,0,0
1121a,1255c,0,0,0,3,1,0,0,1,0,0
0331b,1534c,0,0,0,0,0,1,0,3,0,0
1120a,0349b,2,0,0,0,0,0,3,1,0,0
1362a,0375a,0,1,0,0,0,0,0,4,0,0
0577a,0307b,1,1,0,0,0,0,1,1,0,0
0577a,1458a,2,0,0,3,0,0,1,0,0,0
1454b,1375b,1,3,0,0,0,0,1,3,0,0
0458a,1455b,0,0,0,1,0,0,1,0,0,0
1229b,1341b,1,3,0,3,0,1,0,0,0,0
1446a,1378b,2,0,0,0,0,0,0,1,0,0
1386a,1146b,1,1,0,3,0,1,1,2,0,0
1305a,0372a,0,0,0,3,0,1,0,1,1,0
1362a,1441a,2,0,0,2,0,0,2,1,0,0
1305a,0597b,1,3,0,3,0,1,0,3,0,0
1248b,1248c,2,0,0,0,0,0,1,2,0,1
0359a,1492b,0,1,0,0,0,0,0,2,0,0
1378c,1378a,2,3,0,0,0,2,0,2,0,1
0458a,0532b,0,0,0,3,2,0,1,1,1,0
1454b,1482b,1,0,0,0,0,0,0,0,0,0
0458a,0321a,0,0,0,3,0,1,0,2,1,0
1254c,1231b,1,1,0,0,0,0,1,0,0,0
1386a,1446c,2,0,0,3,0,0,0,0,0,0
0565a,1486a,1,1,0,3,0,0,1,0,0,0
0565a,1237a,0,0,1,2,0,0,1,0,0,0
0367a,1229c,0,0,1,0,0,0,1,2,0,0
1121a,1563a,2,0,0,0,0,1,0,1,0,0
1302a,1320b,1,0,0,3,0,1,0,0,0,0
1120a,1552a,1,1,0,2,0,0,1,1,0,0
0458a,0424c,0,0,0,0,0,0,2,3,0,0
0577a,1429b,0,0,0,0,2,0,0,0,1,0
1454b,0365a,2,1,0,3,0,0,1,1,0,0
1489a,0531a,1,1,0,2,0,0,0,3,0,0
1517a,0896c,1,0,0,1,0,1,1,2,0,0
0565a,1328c,1,0,0,0,0,0,1,0,1,0
1230a,1230c,2,3,0,3,0,0,0,1,0,1
1254c,1344c,2,0,0,3,0,0,0,3,0,0
0577a,1234a,1,3,0,3,0,0,0,2,0,0
1517a,1448c,1,3,0,2,0,0,1,1,0,0
1120a,1180b,1,0,0,3,0,0,1,1,1,0
1121a,1289b,1,3,0,0,0,0,0,1,0,0
1386a,1382a,1,1,0,0,0,0,1,0,0,0
1120a,1451c,2,1,0,3,0,0,0,2,0,0
1229b,1446a,0,0,0,0,0,0,1,0,0,0
1489a,0367c,2,0,0,0,0,0,0,1,0,0
1446a,0321b,2,1,0,0,0,0,0,2,0,0
0367a,1119b,1,0,0,3,0,1,0,3,0,0
1517a,0321c,0,0,0,1,0,0,0,0,0,0
1120a,1167a,2,1,0,3,0,0,0,2,0,0
1305a,1502b,2,3,0,3,0,0,0,4,0,0
1120a,1565b,0,0,0,0,2,0,0,0,0,0
1517a,1231a,1,1,0,1,0,0,1,2,0,0
0331b,0491b,1,0,0,0,0,1,1,0,0,0
1446a,1330b,1,1,0,0,0,0,1,2,0,0
0331b,1454a,1,3,0,3,0,0,1,1,0,0
1254a,1254b,1,0,1,1,0,1,2,0,0,1
1517a,1460b,0,1,0,2,0,0,1,1,0,0
1454b,0532b,0,0,0,0,2,0,1,1,1,0
1229b,1335b,1,1,0,3,0,0,3,0,0,0
1120a,1551b,1,0,0,3,0,1,1,1,1,0
0359a,1491c,1,0,0,1,0,0,1,2,0,0
1120a,0363b,1,0,0,2,0,1,0,1,1,0
1517a,0489c,1,0,0,0,0,0,1,0,1,0
1362a,1320a,2,0,0,0,0,1,0,3,0,0
1482b,1482a,1,3,0,0,0,0,2,1,0,1
0458a,1460a,0,0,0,1,2,0,1,0,0,0
0331b,1468c,2,1,0,3,0,0,0,4,0,0
1120a,1429b,0,0,0,3,2,0,0,1,1,0
1121a,1289a,0,0,0,3,0,1,0,2,0,0
0331b,1547b,1,1,0,1,0,1,0,2,0,0
1386a,0373b,1,0,0,1,0,1,0,3,1,0
1454b,1448a,0,0,0,3,0,1,1,0,1,0
0458a,1554c,1,1,0,3,0,0,0,1,0,0
0565a,0318c,1,1,0,0,0,0,1,3,0,0
0331b,1153a,3,0,0,1,0,0,0,0,0,0
0359a,1330c,1,0,0,2,0,0,1,1,0,0
0565a,0561a,0,0,0,0,0,1,1,0,0,0
1386a,0489c,0,0,0,1,0,0,1,1,1,0
1120a,0424a,1,1,0,0,0,0,0,1,0,0
1391c,1296c,1,0,0,3,2,0,0,1,0,0
1454b,0354b,1,0,0,3,0,1,0,4,0,0
1362a,1335b,1,1,0,3,0,0,3,2,0,0
1454b,1441a,1,0,0,2,0,0,1,1,0,0
1446a,1547b,1,1,0,2,0,1,1,0,0,0
1386a,1366a,2,0,0,0,0,1,1,2,0,0
1254c,1341a,1,1,0,0,0,0,1,1,0,0
1120a,1245c,1,1,0,0,0,0,1,2,0,0
0359a,0381b,1,0,0,0,0,1,0,2,0,0
1305a,0561a,1,0,0,3,0,1,0,1,0,0
1305a,0301b,0,0,0,2,0,1,0,0,0,0
0331b,1119b,2,0,0,3,0,1,0,1,0,0
0359a,0307a,0,1,0,3,0,0,0,2,0,0
0565a,0532c,0,1,0,0,0,1,1,1,0,0
1391c,0411a,1,0,0,0,0,1,0,3,0,0
0359a,1255a,1,0,0,0,0,0,1,2,1,0
1408a,1408b,2,0,0,2,2,2,0,1,1,1
0331b,1371c,1,0,0,0,0,1,2,3,0,0
0577a,0552a,0,0,0,0,0,0,1,1,1,0
0357b,0357c,2,1,1,1,0,0,2,2,1,1
0577a,1284a,0,0,0,0,0,0,1,3,0,0
0359a,1554a,0,0,0,2,0,1,0,1,0,0
1230c,1230b,1,3,1,0,0,0,1,1,0,1
0565a,1432c,0,1,0,3,0,0,1,1,0,0
1302a,0579c,0,0,0,3,0,0,1,0,1,0
1362a,1425c,2,3,0,2,0,1,0,1,0,0
1305a,0550c,1,1,0,1,0,0,0,4,0,0
1489a,1252a,2,0,0,0,0,1,0,3,0,0
0458a,1445b,0,0,0,2,0,0,1,0,0,0
1302a,1448a,0,0,0,3,0,1,0,0,1,0
0367a,0367c,1,0,0,3,0,0,0,3,0,1
1254c,0491a,1,0,0,1,0,1,1,1,1,0
1120a,0334a,0,1,0,3,0,1,0,2,0,0
0379b,0422c,1,1,0,0,0,0,0,0,0,0
1446a,1300a,0,0,0,2,0,0,1,1,0,0
1362a,1521c,3,0,0,1,0,0,1,0,0,0
0565a,0550a,1,3,0,0,0,0,1,1,0,0
1454b,1512c,0,0,0,2,0,0,0,3,0,0
0577a,0896c,1,0,0,0,0,1,1,3,0,0
1377a,1377c,0,1,1,1,2,0,0,1,0,1
0367a,0594a,1,1,0,0,0,0,1,0,0,0
0331b,0365b,1,0,0,3,2,0,0,2,1,0
1229b,1551b,0,0,0,3,0,1,1,1,1,0
1302a,1510b,1,0,0,3,0,0,1,0,0,0
0367a,1540b,1,0,0,0,0,0,1,1,0,0
1517a,1320b,1,0,0,1,0,1,0,2,0,0
1229b,0571a,1,3,0,0,0,1,0,1,0,0
0434b,0434c,1,3,1,2,0,1,0,3,0,1
1448a,1448b,1,1,0,3,0,1,1,1,1,1
1120a,1305a,1,0,0,3,0,0,0,2,0,0
1446a,0422c,1,1,0,3,0,0,1,1,0,0
1120a,1497b,0,0,0,3,2,0,1,0,1,0
1302a,0477b,0,0,0,2,0,1,0,2,0,0
1454b,1237b,1,1,0,2,0,0,1,0,0,0
1471b,1471c,0,1,0,0,2,1,1,3,0,1
1493a,1493b,0,3,0,0,1,0,3,0,0,1
1362a,1245c,2,1,0,0,0,0,1,4,0,0
1391c,1498a,2,0,0,1,0,0,0,1,0,0
1386a,1454b,1,0,0,3,0,0,1,3,0,0
1446a,1171b,1,3,0,0,0,1,0,1,0,0
1454b,1231c,1,3,0,0,0,0,0,3,0,0
1391c,1520c,0,0,0,3,1,0,1,0,0,0
1121a,1335b,0,1,0,3,0,0,3,1,0,0
1302a,0336a,1,1,0,0,0,0,1,3,0,0
1362a,0301b,2,0,0,1,0,1,0,0,0,0
1517a,0456b,2,0,0,0,0,0,0,1,1,0
0577a,1453a,1,0,0,3,0,0,0,3,0,0
1489a,0557c,0,0,0,3,0,1,0,2,1,0
1289a,1289b,1,3,0,3,0,1,0,1,0,1
1229b,0431c,1,1,0,3,0,0,2,1,0,0
1489a,1521a,1,1,0,3,0,0,1,1,0,0
1454b,1329b,1,0,0,0,0,0,2,0,0,0
0367a,0565b,0,0,0,0,0,0,1,1,0,0
1386a,0596a,1,1,0,3,0,0,1,0,0,0
0367a,1267b,0,1,0,2,0,0,0,3,0,0
1305a,1201b,1,1,0,0,0,1,0,4,0,0
1386a,1394a,1,0,0,3,0,0,1,2,1,0
1461b,1461c,0,2,0,3,0,0,0,3,0,1
1229b,1386c,2,0,0,0,0,0,0,0,0,0
1305a,1289c,0,0,0,3,0,0,1,4,0,0
1391c,0496c,1,3,0,3,0,0,1,0,0,0
1446a,1320b,2,0,0,3,0,1,1,2,0,0
0458a,0560b,2,0,0,0,0,0,0,0,1,0
0379b,1366b,1,1,0,3,0,0,1,1,0,0
1446a,0544b,1,0,0,0,0,1,1,2,0,0
1120a,0321a,0,0,0,0,0,1,1,0,1,0
1120a,1445a,2,0,0,0,0,0,0,1,0,0
0367a,1455b,0,0,0,1,0,0,0,4,0,0
0367a,1492c,1,0,0,3,0,1,0,2,0,0
1120a,0419a,2,0,0,2,0,0,0,1,0,0
1516a,1516b,0,1,0,1,0,1,1,0,0,1
1446a,1497b,1,0,0,3,2,0,0,0,1,0
0379b,1236c,2,0,0,1,0,1,0,2,0,0
1121a,1454b,0,0,0,0,0,0,1,1,0,0
1120a,0544b,0,0,0,0,0,1,0,2,0,0
1386a,1330b,1,1,0,3,0,0,0,1,0,0
1365c,1365b,2,2,0,2,0,0,0,2,0,1
1517a,0367c,1,0,0,2,0,0,0,1,0,0
1254c,1261b,2,3,0,0,0,0,1,1,0,0
1305a,0367a,1,0,0,0,0,0,0,4,0,0
0565a,0334b,0,1,0,3,0,0,2,0,0,0
1121a,1458b,1,0,0,3,0,0,1,1,1,0
0565a,1167a,2,1,0,3,0,0,1,3,0,0
0367a,1375c,1,3,0,0,0,0,0,4,0,0
1391c,1453c,0,0,0,0,0,0,1,1,1,0
0565a,1328a,1,0,0,1,0,1,1,1,0,0
0367a,1135b,1,0,0,0,0,1,1,3,0,0
1446a,1521c,1,0,0,1,0,0,0,2,0,0
1305a,1134c,1,0,0,0,0,0,3,4,0,0
1489a,1517a,1,0,0,2,0,0,0,2,0,0
1454b,1341a,2,1,0,3,0,0,1,2,0,0
0379b,1543c,2,0,0,1,0,0,0,1,1,0
1302a,1486a,1,1,0,3,0,0,0,1,0,0
1120a,1343a,0,1,0,3,0,1,0,2,0,0
1386a,1475b,2,0,1,3,0,0,0,0,0,0
1454b,0389c,0,1,0,3,0,0,2,2,0,0
1446a,1174a,0,0,0,2,0,1,1,2,0,0
1386a,0422a,0,0,0,0,0,1,0,3,0,0
1386a,1374b,0,0,0,0,0,0,2,1,1,0
1302a,1219b,0,1,0,3,0,1,0,3,0,0
1489a,0489c,0,0,0,2,0,0,1,2,1,0
1120a,1484b,1,0,0,3,0,1,1,0,1,0
0359a,1554b,0,0,0,1,0,0,1,1,1,0
1302a,1330a,1,1,0,0,0,0,0,0,0,0
1446a,1448a,1,0,0,3,0,1,1,2,1,0
1120a,1471b,1,1,0,3,0,0,0,2,0,0
0577a,0552c,1,1,0,0,0,0,0,1,0,0
1454b,1329a,1,0,0,0,0,1,0,3,0,0
1335a,1335b,0,1,0,0,0,1,3,1,0,1
1305a,1534b,0,0,0,3,0,0,1,1,0,0
1302a,1508b,1,0,0,3,0,1,1,0,1,0
0367a,1453a,1,0,0,3,0,0,0,0,0,0
1121a,1433b,1,0,0,0,2,0,0,0,0,0
1517a,1513b,0,1,0,2,0,1,0,0,0,0
1208a,1208b,1,4,0,0,2,1,0,1,1,1
0359a,1039c,0,3,0,0,0,0,3,1,0,0
1120a,1352c,0,1,0,3,0,0,1,0,0,0
0577a,1447a,0,0,0,3,0,1,1,1,0,0
1386a,0562a,1,0,0,3,0,0,1,1,0,0
1446a,1230a,1,0,0,3,0,0,1,1,0,0
0359a,1144b,1,1,0,0,0,0,1,0,0,0
1091c,1091a,1,3,2,2,0,0,3,2,0,1
1517a,0396b,0,0,1,0,0,0,1,1,0,0
0577a,0414b,1,0,0,0,0,1,1,0,0,0
1302a,0445b,1,0,0,0,0,1,1,1,1,0
0379b,1119b,2,0,0,3,0,1,0,2,0,0
1229b,0367b,0,0,0,3,0,0,1,0,0,0
0331b,1442b,1,1,0,3,0,0,1,4,0,0
1254c,1565c,1,0,0,0,0,0,1,1,0,0
1386a,1545b,1,0,0,0,2,0,0,2,0,0
1454b,1267c,1,1,0,3,0,0,1,1,1,0
1305a,0458a,1,0,0,0,0,0,1,0,0,0
0359a,0306b,0,0,1,2,0,0,0,0,0,0
1386a,1236b,2,3,0,0,0,0,1,3,0,0
1386a,1229c,1,0,1,0,0,0,1,1,0,0
1362a,1475b,0,0,1,0,0,0,0,3,0,0
0458a,0577c,1,0,0,1,0,1,1,0,0,0
1446a,0338c,1,0,0,0,0,0,0,0,1,0
1164c,1164b,1,0,0,1,1,1,1,1,0,1
0577a,1336c,2,0,0,0,0,1,0,1,0,0
0458a,0451b,0,0,0,3,2,0,0,2,1,0
0577a,1236a,1,1,0,3,0,0,0,2,0,0
1489a,1149b,1,3,0,0,0,0,1,0,0,0
1362a,1492a,2,0,0,0,0,1,0,0,0,0
0367a,1468c,1,1,0,3,0,0,0,0,0,0
0458a,0562a,2,0,0,3,0,0,0,4,0,0
1302a,1330b,0,1,0,0,0,0,0,4,0,0
1120a,1341b,0,3,0,3,0,1,0,0,0,0
1489a,1490c,1,0,0,0,0,0,0,2,0,0
1386a,1180c,1,3,0,0,0,1,0,0,0,0
1362a,1545c,1,0,0,0,0,1,0,1,0,0
1454b,0492b,0,1,0,3,0,1,0,3,0,0
0577a,1366c,2,0,0,0,0,0,1,0,1,0
0458a,1374c,1,1,0,0,0,1,1,3,0,0
1446a,0333b,1,0,0,3,0,1,0,1,0,0
1424b,1424c,2,0,0,3,2,0,1,1,1,1
0577a,0402b,1,3,0,3,0,0,1,1,0,0
1229b,0318c,2,1,0,0,0,0,0,2,0,0
0565a,0459b,0,1,0,3,0,1,0,2,0,0
1391c,0575c,0,0,0,1,0,1,1,1,0,0
1254c,0319a,1,3,0,0,0,1,0,1,0,0
1254c,0434b,0,3,0,0,0,0,1,1,0,0
1120a,1329c,2,0,0,3,0,0,3,2,0,0
0565a,1231c,1,3,0,0,0,0,0,2,0,0
0367a,1123b,2,1,0,0,0,0,1,3,0,0
1454b,1360b,0,1,0,3,0,0,1,2,0,0
0577a,0355c,1,0,0,1,0,1,0,0,0,0
0458a,1444a,2,0,0,0,0,1,1,3,0,0
1517a,0422a,1,0,0,1,0,1,0,2,0,0
0331b,1284b,2,0,0,3,2,0,0,1,0,0
1454b,1460b,0,1,0,0,0,0,0,3,0,0
1254c,1484b,0,0,0,0,0,1,0,1,1,0
1302a,0314b,2,1,0,3,0,0,0,2,0,0
1517a,1289a,0,0,0,1,0,1,0,1,0,0
1391c,1260a,2,0,0,1,0,0,1,3,0,0
1302a,0565b,0,0,0,3,0,0,1,3,0,0
0367a,1534b,1,0,0,3,0,0,1,3,0,0
1446a,1554c,2,1,0,0,0,0,0,1,0,0
0585b,0585c,3,0,2,1,0,2,0,4,0,1
1489a,1498a,1,0,0,2,0,0,1,2,0,0
1254c,0579a,0,1,0,3,0,0,1,0,0,0
1121a,1302a,0,0,0,0,0,0,0,1,0,0
1489a,0461a,2,0,0,0,2,0,0,0,0,0
1386a,1554c,2,1,0,3,0,0,1,2,0,0
0565a,1335b,0,1,0,3,0,0,2,1,0,0
1446a,1365b,1,3,0,0,0,0,0,2,0,0
1120a,0552c,1,1,0,3,0,0,0,0,0,0
1302a,1137a,1,0,0,3,0,1,0,1,0,0
0367a,0411b,1,1,0,1,0,0,0,3,0,0
0577a,0381b,1,0,0,0,0,1,0,3,0,0
1446a,1231c,0,3,0,0,0,0,0,1,0,0
1454b,1260b,0,0,0,2,0,1,0,0,0,0
1362a,1398c,1,0,0,3,0,0,2,1,1,0
1120a,1493b,0,3,0,3,0,0,3,1,0,0
0379b,1453c,1,0,0,0,0,0,0,1,1,0
1254c,1180b,0,0,0,0,0,0,0,0,1,0
1531b,1531c,1,0,0,3,0,2,0,1,0,1
0359a,1289c,1,0,0,3,0,0,1,2,0,0
0379b,1153b,3,3,0,3,0,0,1,1,0,0
1386a,1335c,1,0,0,3,0,0,2,2,1,0
